id,data,home_team_id,away_team_id,home_goals,away_goals,home_corners,away_corners,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,status,liga,rodada,sofascore_event_id,created_at,updated_at
59,2025-11-25 21:30:00,7,1,1,1,2,4,8,15,4,4,10,8,3,2,1,0,finished,Brasileirão,36,13472615,2025-12-07 19:48:18.267144,2025-12-07 19:48:18.267144
60,2025-11-26 19:00:00,17,14,0,1,8,3,18,8,3,2,10,9,1,1,0,0,finished,Brasileirão,36,13472614,2025-12-07 19:48:30.597107,2025-12-07 19:48:30.597107
61,2025-11-27 20:30:00,9,4,6,0,3,4,16,5,11,1,8,11,1,1,0,0,finished,Brasileirão,36,13472605,2025-12-07 19:48:37.923018,2025-12-07 19:48:37.923018
62,2025-11-28 19:00:00,20,12,1,1,7,5,18,15,8,5,17,15,2,3,0,0,finished,Brasileirão,36,13472619,2025-12-07 19:48:44.627861,2025-12-07 19:48:44.627861
63,2025-11-28 19:30:00,13,6,5,1,3,4,16,14,8,5,13,14,0,1,0,0,finished,Brasileirão,36,13472606,2025-12-07 19:48:51.552496,2025-12-07 19:48:51.552496
64,2025-11-29 21:00:00,18,3,1,1,5,8,11,13,3,3,12,14,2,4,0,0,finished,Brasileirão,36,13472618,2025-12-07 19:49:06.712023,2025-12-07 19:49:06.712023
65,2025-11-30 16:00:00,5,10,2,2,7,4,14,8,6,2,13,18,3,5,0,1,finished,Brasileirão,36,13472611,2025-12-07 19:49:12.990983,2025-12-07 19:49:12.990983
66,2025-11-30 18:30:00,14,7,1,0,9,2,15,9,4,4,9,10,0,1,0,0,finished,Brasileirão,35,13472608,2025-12-07 19:49:19.569101,2025-12-07 19:49:19.569101
67,2025-12-02 21:30:00,11,9,1,2,10,0,16,6,7,2,14,14,3,1,0,0,finished,Brasileirão,37,13472604,2025-12-07 19:49:30.252927,2025-12-07 19:49:30.252927
68,2025-12-03 19:00:00,17,16,4,0,5,0,20,7,9,3,21,12,3,0,0,0,finished,Brasileirão,34,15121159,2025-12-07 19:49:38.231737,2025-12-07 19:49:38.231737
69,2025-12-03 19:00:00,14,5,2,1,0,7,10,20,3,7,15,18,5,1,0,0,finished,Brasileirão,37,13472590,2025-12-07 19:49:45.22768,2025-12-07 19:49:45.22768
70,2025-12-03 19:30:00,20,15,0,3,5,3,12,10,3,6,13,12,2,2,0,0,finished,Brasileirão,37,13472584,2025-12-07 19:49:51.783801,2025-12-07 19:49:51.783801
