id,player_id,jogos_total,minutos_total,minutos_por_jogo,titularidades,gols_total,gols_por_90,gols_esperados_xg,xg_por_90,finalizacoes_total,finalizacoes_por_90,finalizacoes_no_gol,conversao_gols,grandes_chances_criadas,grandes_chances_perdidas,assistencias_total,assistencias_esperadas_xa,passes_total,passes_certos,passes_decisivos,passes_chave_por_90,passes_longos_certos,cruzamentos_total,cruzamentos_certos,cruzamentos_por_90,escanteios_cobrados,escanteios_cobrados_por_90,desarmes_total,interceptacoes_total,duelos_ganhos,duelos_totais,duelos_aereos_ganhos,dribles_certos,faltas_cometidas,faltas_cometidas_por_90,faltas_sofridas,cartoes_amarelos,cartoes_amarelos_por_90,cartoes_vermelhos,defesas,gols_sofridos,clean_sheets,off_index,cross_index,foul_index,periodo,updated_at,raw_stats,rating,penaltis_defendidos,gols_evitados,erros_para_gol,bolas_recuperadas,toques,xg,xa,chutes_total,chutes_no_gol,impedimentos,sofascore_stats_id
2,42,37,3330,0.00,37,0,0.000,0.000,0.000,0,0.00,0,0.00,0,0,0,0.000,949,778,0,0.00,162,0,0,0.00,0,0.00,0,0,16,0,7,1,0,0.00,10,2,0.000,0,90,24,18,0.000,0.000,0.000,Brasileirão 2025,2025-12-07 02:31:21.430432,"{""id"": 1906218, ""xa"": 0.24382629, ""tipo"": ""overall"", ""jogos"": 37, ""socos"": 17, ""cortes"": 31, ""toques"": 1254, ""defesas"": 90, ""nota_media"": 7.1702702702703, ""nota_total"": 265.3, ""saidas_gol"": 12, ""passes_total"": 949, ""duelos_ganhos"": 16, ""gols_evitados"": 9.1629, ""gols_sofridos"": 24, ""passes_certos"": 778, ""tiros_de_meta"": 122, ""titularidades"": 37, ""dribles_certos"": 1, ""erros_para_gol"": 3, ""passes_cavados"": 88, ""passes_errados"": 171, ""selecao_rodada"": 3, ""duelos_chao_pct"": 81.818181818182, ""duelos_perdidos"": 4, ""faltas_sofridas"": 10, ""jogos_avaliados"": 37, ""minutos_jogados"": 3330, ""posses_perdidas"": 176, ""cartoes_amarelos"": 2, ""dribles_sofridos"": 2, ""dribles_tentados"": 1, ""bolas_altas_pegou"": 39, ""defesas_fora_area"": 34, ""duelos_aereos_pct"": 77.777777777778, ""duelos_ganhos_pct"": 80, ""lancamentos_total"": 325, ""passes_certos_pct"": 81.981032665964, ""recuperacoes_bola"": 288, ""defesas_espalmadas"": 16, ""dribles_certos_pct"": 100, ""duelos_chao_ganhos"": 9, ""lancamentos_certos"": 162, ""saidas_gol_sucesso"": 10, ""defesas_dentro_area"": 55, ""passes_campo_ataque"": 188, ""passes_campo_defesa"": 761, ""penaltis_defendidos"": 3, ""duelos_aereos_ganhos"": 7, ""jogos_sem_sofrer_gol"": 18, ""penaltis_enfrentados"": 4, ""passes_cavados_certos"": 66, ""duelos_aereos_perdidos"": 2, ""erros_para_finalizacao"": 3, ""lancamentos_certos_pct"": 49.846153846154, ""gols_sofridos_fora_area"": 4, ""cruzamentos_nao_cortados"": 1, ""gols_sofridos_dentro_area"": 20, ""passes_terco_final_certos"": 22, ""passes_campo_ataque_certos"": 62, ""passes_campo_defesa_certos"": 716}",7.17,3,9.16,3,288,1254,0.00,0.24,0,0,0,1906218
4,27,0,0,0.00,0,0,0.000,0.000,0.000,0,0.00,0,0.00,0,0,0,0.000,0,0,0,0.00,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0.000,0,0,0,0,0.000,0.000,0.000,Brasileirão 2025,2025-12-07 02:31:23.062113,"{""id"": 1906260, ""xa"": 1.51449482, ""xg"": 0.2398, ""tipo"": ""overall"", ""jogos"": 20, ""cortes"": 48, ""toques"": 1355, ""desarmes"": 14, ""bloqueios"": 3, ""desarmado"": 7, ""nota_media"": 7.03, ""nota_total"": 140.6, ""finalizacoes"": 8, ""impedimentos"": 1, ""passes_total"": 1013, ""duelos_ganhos"": 63, ""gols_sofridos"": 11, ""passes_certos"": 902, ""titularidades"": 19, ""dribles_certos"": 13, ""interceptacoes"": 18, ""passes_cavados"": 76, ""passes_errados"": 111, ""bloqueios_linha"": 7, ""desarmes_certos"": 7, ""duelos_chao_pct"": 41, ""duelos_perdidos"": 75, ""faltas_sofridas"": 16, ""jogos_avaliados"": 20, ""minutos_jogados"": 1548, ""posses_perdidas"": 171, ""cartoes_amarelos"": 4, ""dribles_sofridos"": 4, ""dribles_tentados"": 19, ""faltas_cometidas"": 44, ""passes_decisivos"": 11, ""cruzamentos_total"": 30, ""duelos_aereos_pct"": 57.894736842105, ""duelos_ganhos_pct"": 45.652173913043, ""lancamentos_total"": 85, ""passes_certos_pct"": 89.042448173741, ""recuperacoes_bola"": 70, ""cruzamentos_certos"": 9, ""dribles_certos_pct"": 68.421052631579, ""duelos_chao_ganhos"": 41, ""lancamentos_certos"": 46, ""desarmes_certos_pct"": 50, ""finalizacoes_no_gol"": 2, ""passes_campo_ataque"": 611, ""passes_campo_defesa"": 424, ""duelos_aereos_ganhos"": 22, ""jogos_sem_sofrer_gol"": 8, ""passes_cavados_certos"": 39, ""cruzamentos_certos_pct"": 30, ""duelos_aereos_perdidos"": 16, ""erros_para_finalizacao"": 2, ""finalizacoes_fora_area"": 3, ""finalizacoes_para_fora"": 3, ""lancamentos_certos_pct"": 54.117647058824, ""tentativas_assistencia"": 11, ""gols_sofridos_fora_area"": 2, ""grandes_chances_criadas"": 3, ""finalizacoes_dentro_area"": 5, ""gols_sofridos_dentro_area"": 9, ""passes_terco_final_certos"": 261, ""recuperacoes_terco_ataque"": 1, ""passes_campo_ataque_certos"": 519, ""passes_campo_defesa_certos"": 388}",,0,,0,0,0,,,0,0,0,
5,19,0,0,0.00,0,0,0.000,0.000,0.000,0,0.00,0,0.00,0,0,0,0.000,0,0,0,0.00,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0.000,0,0,0,0,0.000,0.000,0.000,Brasileirão 2025,2025-12-07 02:31:23.832039,"{""id"": 1941478, ""xa"": 0.46824498, ""xg"": 0.178, ""tipo"": ""overall"", ""jogos"": 13, ""cortes"": 8, ""toques"": 637, ""desarmes"": 6, ""bloqueios"": 3, ""desarmado"": 4, ""nota_media"": 6.9, ""nota_total"": 82.8, ""finalizacoes"": 6, ""passes_total"": 550, ""duelos_ganhos"": 20, ""gols_sofridos"": 2, ""passes_certos"": 513, ""titularidades"": 9, ""dribles_certos"": 4, ""interceptacoes"": 9, ""passes_cavados"": 39, ""passes_errados"": 37, ""bloqueios_linha"": 4, ""desarmes_certos"": 4, ""duelos_chao_pct"": 43.589743589744, ""duelos_perdidos"": 26, ""faltas_sofridas"": 7, ""jogos_avaliados"": 12, ""minutos_jogados"": 694, ""posses_perdidas"": 55, ""cartoes_amarelos"": 2, ""dribles_tentados"": 7, ""faltas_cometidas"": 18, ""passes_decisivos"": 5, ""duelos_aereos_pct"": 42.857142857143, ""duelos_ganhos_pct"": 43.478260869565, ""lancamentos_total"": 42, ""passes_certos_pct"": 93.272727272727, ""recuperacoes_bola"": 32, ""dribles_certos_pct"": 57.142857142857, ""duelos_chao_ganhos"": 17, ""lancamentos_certos"": 27, ""desarmes_certos_pct"": 66.666666666667, ""finalizacoes_no_gol"": 2, ""passes_campo_ataque"": 313, ""passes_campo_defesa"": 237, ""duelos_aereos_ganhos"": 3, ""jogos_sem_sofrer_gol"": 3, ""passes_cavados_certos"": 28, ""duelos_aereos_perdidos"": 4, ""finalizacoes_fora_area"": 5, ""finalizacoes_para_fora"": 1, ""lancamentos_certos_pct"": 64.285714285714, ""tentativas_assistencia"": 5, ""finalizacoes_dentro_area"": 1, ""gols_sofridos_dentro_area"": 2, ""passes_terco_final_certos"": 122, ""passes_campo_ataque_certos"": 290, ""passes_campo_defesa_certos"": 223}",,0,,0,0,0,,,0,0,0,
7,2,0,0,0.00,0,0,0.000,0.000,0.000,0,0.00,0,0.00,0,0,0,0.000,0,0,0,0.00,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0.000,0,0,0,0,0.000,0.000,0.000,Brasileirão 2025,2025-12-07 02:31:25.19515,"{""id"": 1906254, ""xa"": 2.56393018, ""xg"": 7.2127, ""gols"": 8, ""tipo"": ""overall"", ""jogos"": 32, ""cortes"": 7, ""toques"": 752, ""desarmes"": 21, ""bloqueios"": 13, ""desarmado"": 29, ""nota_media"": 6.95625, ""nota_total"": 222.6, ""gols_cabeca"": 1, ""finalizacoes"": 56, ""gols_penalti"": 1, ""impedimentos"": 15, ""passes_total"": 402, ""duelos_ganhos"": 120, ""gols_sofridos"": 15, ""passes_certos"": 310, ""titularidades"": 20, ""dribles_certos"": 23, ""gols_fora_area"": 1, ""interceptacoes"": 4, ""passes_cavados"": 12, ""passes_errados"": 92, ""selecao_rodada"": 2, ""desarmes_certos"": 13, ""duelos_chao_pct"": 45.604395604396, ""duelos_perdidos"": 143, ""faltas_sofridas"": 39, ""frequencia_gols"": 228.25, ""gols_pe_direito"": 4, ""jogos_avaliados"": 32, ""minutos_jogados"": 1826, ""posses_perdidas"": 226, ""cartoes_amarelos"": 8, ""dribles_sofridos"": 9, ""dribles_tentados"": 43, ""faltas_cometidas"": 44, ""gols_dentro_area"": 7, ""gols_pe_esquerdo"": 3, ""passes_decisivos"": 21, ""cruzamentos_total"": 16, ""duelos_aereos_pct"": 45.679012345679, ""duelos_ganhos_pct"": 45.627376425856, ""lancamentos_total"": 7, ""passes_certos_pct"": 77.114427860697, ""penaltis_cobrados"": 1, ""penaltis_sofridos"": 1, ""recuperacoes_bola"": 43, ""conversao_gols_pct"": 14.285714285714, ""conversao_penaltis"": 100, ""cruzamentos_certos"": 6, ""dribles_certos_pct"": 53.488372093023, ""duelos_chao_ganhos"": 83, ""lancamentos_certos"": 2, ""desarmes_certos_pct"": 61.904761904762, ""finalizacoes_no_gol"": 23, ""passes_campo_ataque"": 338, ""passes_campo_defesa"": 79, ""duelos_aereos_ganhos"": 37, ""jogos_sem_sofrer_gol"": 1, ""passes_cavados_certos"": 7, ""cruzamentos_certos_pct"": 37.5, ""duelos_aereos_perdidos"": 44, ""finalizacoes_fora_area"": 18, ""finalizacoes_para_fora"": 20, ""gols_mais_assistencias"": 8, ""lancamentos_certos_pct"": 28.571428571429, ""tentativas_assistencia"": 21, ""gols_sofridos_fora_area"": 3, ""grandes_chances_criadas"": 5, ""finalizacoes_dentro_area"": 38, ""grandes_chances_perdidas"": 3, ""gols_sofridos_dentro_area"": 12, ""passes_terco_final_certos"": 156, ""recuperacoes_terco_ataque"": 11, ""passes_campo_ataque_certos"": 250, ""passes_campo_defesa_certos"": 65}",,0,,0,0,0,,,0,0,0,
8,23,0,0,0.00,0,0,0.000,0.000,0.000,0,0.00,0,0.00,0,0,0,0.000,0,0,0,0.00,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0.000,0,0,0,0,0.000,0.000,0.000,Brasileirão 2025,2025-12-07 02:31:25.982585,"{""id"": 2519386, ""xa"": 0.00133993, ""tipo"": ""overall"", ""jogos"": 1, ""cortes"": 1, ""toques"": 6, ""nota_media"": 6.5, ""nota_total"": 6.5, ""passes_total"": 3, ""duelos_ganhos"": 1, ""gols_sofridos"": 1, ""passes_certos"": 3, ""duelos_chao_pct"": 100, ""faltas_sofridas"": 1, ""jogos_avaliados"": 1, ""minutos_jogados"": 27, ""duelos_ganhos_pct"": 100, ""passes_certos_pct"": 100, ""duelos_chao_ganhos"": 1, ""passes_campo_ataque"": 2, ""passes_campo_defesa"": 1, ""gols_sofridos_dentro_area"": 1, ""passes_terco_final_certos"": 1, ""passes_campo_ataque_certos"": 2, ""passes_campo_defesa_certos"": 1}",,0,,0,0,0,,,0,0,0,
10,38,0,0,0.00,0,0,0.000,0.000,0.000,0,0.00,0,0.00,0,0,0,0.000,0,0,0,0.00,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0.000,0,0,0,0,0.000,0.000,0.000,Brasileirão 2025,2025-12-07 02:31:29.699347,"{""id"": 2519400, ""xa"": 0.0881198, ""xg"": 0.0991, ""tipo"": ""overall"", ""jogos"": 1, ""cortes"": 5, ""toques"": 48, ""desarmes"": 1, ""nota_media"": 6.8, ""nota_total"": 6.8, ""finalizacoes"": 1, ""passes_total"": 31, ""duelos_ganhos"": 6, ""gols_sofridos"": 3, ""passes_certos"": 27, ""titularidades"": 1, ""dribles_certos"": 3, ""interceptacoes"": 1, ""passes_errados"": 4, ""desarmes_certos"": 1, ""duelos_chao_pct"": 80, ""duelos_perdidos"": 2, ""jogos_avaliados"": 1, ""minutos_jogados"": 69, ""posses_perdidas"": 8, ""dribles_tentados"": 4, ""passes_decisivos"": 1, ""cruzamentos_total"": 2, ""duelos_aereos_pct"": 66.666666666667, ""duelos_ganhos_pct"": 75, ""lancamentos_total"": 2, ""passes_certos_pct"": 87.096774193548, ""recuperacoes_bola"": 8, ""cruzamentos_certos"": 1, ""dribles_certos_pct"": 75, ""duelos_chao_ganhos"": 4, ""lancamentos_certos"": 1, ""desarmes_certos_pct"": 100, ""passes_campo_ataque"": 10, ""passes_campo_defesa"": 21, ""duelos_aereos_ganhos"": 2, ""cruzamentos_certos_pct"": 50, ""duelos_aereos_perdidos"": 1, ""finalizacoes_para_fora"": 1, ""lancamentos_certos_pct"": 50, ""tentativas_assistencia"": 1, ""finalizacoes_dentro_area"": 1, ""gols_sofridos_dentro_area"": 3, ""passes_terco_final_certos"": 4, ""recuperacoes_terco_ataque"": 1, ""passes_campo_ataque_certos"": 7, ""passes_campo_defesa_certos"": 20}",,0,,0,0,0,,,0,0,0,
6,32,0,0,0.00,0,0,0.000,0.000,0.000,0,0.00,0,0.00,0,0,0,0.000,0,0,0,0.00,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0.000,0,0,0,0,0.000,0.000,0.000,Brasileirão 2025,2025-12-07 02:31:24.549526,"{""id"": 1906222, ""xa"": 1.29812145, ""xg"": 1.3099, ""gols"": 2, ""tipo"": ""overall"", ""jogos"": 18, ""cortes"": 26, ""toques"": 1150, ""desarmes"": 31, ""bloqueios"": 4, ""desarmado"": 4, ""nota_media"": 7.2411764705882, ""nota_total"": 123.1, ""finalizacoes"": 16, ""passes_total"": 827, ""duelos_ganhos"": 84, ""gols_sofridos"": 10, ""passes_certos"": 758, ""titularidades"": 13, ""dribles_certos"": 11, ""gols_fora_area"": 1, ""interceptacoes"": 9, ""passes_cavados"": 25, ""passes_errados"": 69, ""selecao_rodada"": 1, ""bloqueios_linha"": 5, ""desarmes_certos"": 26, ""duelos_chao_pct"": 56.363636363636, ""duelos_perdidos"": 65, ""faltas_sofridas"": 20, ""frequencia_gols"": 615.5, ""gols_pe_direito"": 1, ""jogos_avaliados"": 17, ""minutos_jogados"": 1231, ""posses_perdidas"": 133, ""cartoes_amarelos"": 5, ""dribles_sofridos"": 13, ""dribles_tentados"": 21, ""faltas_cometidas"": 23, ""gols_dentro_area"": 1, ""gols_pe_esquerdo"": 1, ""passes_decisivos"": 10, ""cruzamentos_total"": 38, ""duelos_aereos_pct"": 56.410256410256, ""duelos_ganhos_pct"": 56.375838926174, ""lancamentos_total"": 47, ""passes_certos_pct"": 91.656590084643, ""recuperacoes_bola"": 61, ""conversao_gols_pct"": 12.5, ""cruzamentos_certos"": 11, ""dribles_certos_pct"": 52.380952380952, ""duelos_chao_ganhos"": 62, ""lancamentos_certos"": 27, ""penaltis_cometidos"": 1, ""desarmes_certos_pct"": 83.870967741935, ""finalizacoes_no_gol"": 6, ""passes_campo_ataque"": 511, ""passes_campo_defesa"": 330, ""duelos_aereos_ganhos"": 22, ""jogos_sem_sofrer_gol"": 3, ""passes_cavados_certos"": 16, ""cruzamentos_certos_pct"": 28.947368421053, ""duelos_aereos_perdidos"": 17, ""finalizacoes_fora_area"": 11, ""finalizacoes_para_fora"": 6, ""gols_mais_assistencias"": 2, ""lancamentos_certos_pct"": 57.446808510638, ""tentativas_assistencia"": 10, ""gols_sofridos_fora_area"": 2, ""grandes_chances_criadas"": 1, ""finalizacoes_dentro_area"": 5, ""grandes_chances_perdidas"": 2, ""gols_sofridos_dentro_area"": 8, ""passes_terco_final_certos"": 207, ""passes_campo_ataque_certos"": 437, ""passes_campo_defesa_certos"": 308}",,0,,0,0,0,,,0,0,0,
9,34,0,0,0.00,0,0,0.000,0.000,0.000,0,0.00,0,0.00,0,0,0,0.000,0,0,0,0.00,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0.000,0,0,0,0,0.000,0.000,0.000,Brasileirão 2025,2025-12-07 02:31:27.519266,"{""id"": 2081803, ""xa"": 0.0085993, ""tipo"": ""overall"", ""jogos"": 2, ""cortes"": 7, ""toques"": 66, ""desarmes"": 3, ""nota_media"": 7, ""nota_total"": 14, ""passes_total"": 46, ""duelos_ganhos"": 6, ""gols_sofridos"": 1, ""passes_certos"": 41, ""tiros_de_meta"": 2, ""interceptacoes"": 2, ""passes_cavados"": 1, ""passes_errados"": 5, ""bloqueios_linha"": 2, ""desarmes_certos"": 2, ""duelos_chao_pct"": 83.333333333333, ""duelos_perdidos"": 1, ""faltas_sofridas"": 2, ""jogos_avaliados"": 2, ""minutos_jogados"": 82, ""posses_perdidas"": 7, ""faltas_cometidas"": 1, ""duelos_aereos_pct"": 100, ""duelos_ganhos_pct"": 85.714285714286, ""lancamentos_total"": 5, ""passes_certos_pct"": 89.130434782609, ""recuperacoes_bola"": 1, ""duelos_chao_ganhos"": 5, ""lancamentos_certos"": 3, ""desarmes_certos_pct"": 66.666666666667, ""passes_campo_ataque"": 22, ""passes_campo_defesa"": 24, ""duelos_aereos_ganhos"": 1, ""passes_cavados_certos"": 1, ""lancamentos_certos_pct"": 60, ""gols_sofridos_dentro_area"": 1, ""passes_terco_final_certos"": 3, ""passes_campo_ataque_certos"": 17, ""passes_campo_defesa_certos"": 24}",,0,,0,0,0,,,0,0,0,
11,26,0,0,0.00,0,0,0.000,0.000,0.000,0,0.00,0,0.00,0,0,0,0.000,0,0,0,0.00,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0.000,0,0,0,0,0.000,0.000,0.000,Brasileirão 2025,2025-12-07 02:31:33.998727,"{""id"": 1949402, ""xa"": 1.21881747, ""xg"": 1.2231, ""gols"": 1, ""tipo"": ""overall"", ""jogos"": 20, ""cortes"": 58, ""toques"": 1513, ""desarmes"": 10, ""desarmado"": 1, ""nota_media"": 6.92, ""nota_total"": 138.4, ""gols_cabeca"": 1, ""assistencias"": 1, ""finalizacoes"": 6, ""passes_total"": 1369, ""duelos_ganhos"": 38, ""gols_sofridos"": 11, ""passes_certos"": 1274, ""tiros_de_meta"": 5, ""titularidades"": 14, ""dribles_certos"": 2, ""interceptacoes"": 14, ""passes_cavados"": 85, ""passes_errados"": 95, ""selecao_rodada"": 2, ""bloqueios_linha"": 6, ""desarmes_certos"": 8, ""duelos_chao_pct"": 41.463414634146, ""duelos_perdidos"": 44, ""faltas_sofridas"": 6, ""frequencia_gols"": 1409, ""jogos_avaliados"": 20, ""minutos_jogados"": 1409, ""posses_perdidas"": 111, ""cartoes_amarelos"": 2, ""dribles_sofridos"": 7, ""dribles_tentados"": 3, ""faltas_cometidas"": 15, ""gols_dentro_area"": 1, ""passes_decisivos"": 9, ""cartoes_vermelhos"": 1, ""cruzamentos_total"": 15, ""duelos_aereos_pct"": 51.219512195122, ""duelos_ganhos_pct"": 46.341463414634, ""lancamentos_total"": 109, ""passes_certos_pct"": 93.060628195763, ""recuperacoes_bola"": 70, ""conversao_gols_pct"": 16.666666666667, ""cruzamentos_certos"": 5, ""dribles_certos_pct"": 66.666666666667, ""duelos_chao_ganhos"": 17, ""lancamentos_certos"": 65, ""desarmes_certos_pct"": 80, ""finalizacoes_no_gol"": 3, ""passes_campo_ataque"": 679, ""passes_campo_defesa"": 695, ""duelos_aereos_ganhos"": 21, ""jogos_sem_sofrer_gol"": 6, ""passes_cavados_certos"": 48, ""cruzamentos_certos_pct"": 33.333333333333, ""duelos_aereos_perdidos"": 20, ""finalizacoes_para_fora"": 3, ""gols_mais_assistencias"": 2, ""lancamentos_certos_pct"": 59.633027522936, ""tentativas_assistencia"": 9, ""gols_sofridos_fora_area"": 1, ""grandes_chances_criadas"": 3, ""finalizacoes_dentro_area"": 6, ""grandes_chances_perdidas"": 1, ""cartoes_vermelhos_diretos"": 1, ""gols_sofridos_dentro_area"": 10, ""passes_terco_final_certos"": 221, ""recuperacoes_terco_ataque"": 2, ""passes_campo_ataque_certos"": 599, ""passes_campo_defesa_certos"": 671}",,0,,0,0,0,,,0,0,0,
21,6,0,0,0.00,0,0,0.000,0.000,0.000,0,0.00,0,0.00,0,0,0,0.000,0,0,0,0.00,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0.000,0,0,0,0,0.000,0.000,0.000,Brasileirão 2025,2025-12-07 02:31:35.406023,"{""id"": 2460091, ""xa"": 0.1056917, ""xg"": 0.6683, ""gols"": 2, ""tipo"": ""overall"", ""jogos"": 2, ""toques"": 32, ""desarmado"": 1, ""nota_media"": 7.4, ""nota_total"": 14.8, ""finalizacoes"": 5, ""passes_total"": 21, ""duelos_ganhos"": 2, ""gols_sofridos"": 3, ""passes_certos"": 15, ""titularidades"": 1, ""dribles_certos"": 1, ""interceptacoes"": 1, ""passes_cavados"": 1, ""passes_errados"": 6, ""duelos_chao_pct"": 28.571428571429, ""duelos_perdidos"": 5, ""faltas_sofridas"": 1, ""frequencia_gols"": 42, ""gols_pe_direito"": 1, ""jogos_avaliados"": 2, ""minutos_jogados"": 84, ""posses_perdidas"": 8, ""dribles_sofridos"": 4, ""dribles_tentados"": 1, ""gols_dentro_area"": 2, ""gols_pe_esquerdo"": 1, ""passes_decisivos"": 1, ""cruzamentos_total"": 1, ""duelos_ganhos_pct"": 28.571428571429, ""lancamentos_total"": 2, ""passes_certos_pct"": 71.428571428571, ""recuperacoes_bola"": 3, ""conversao_gols_pct"": 40, ""cruzamentos_certos"": 1, ""dribles_certos_pct"": 100, ""duelos_chao_ganhos"": 2, ""finalizacoes_no_gol"": 3, ""passes_campo_ataque"": 15, ""passes_campo_defesa"": 6, ""cruzamentos_certos_pct"": 100, ""finalizacoes_fora_area"": 1, ""finalizacoes_para_fora"": 2, ""gols_mais_assistencias"": 2, ""tentativas_assistencia"": 1, ""grandes_chances_criadas"": 1, ""finalizacoes_dentro_area"": 4, ""gols_sofridos_dentro_area"": 3, ""passes_terco_final_certos"": 8, ""recuperacoes_terco_ataque"": 1, ""passes_campo_ataque_certos"": 10, ""passes_campo_defesa_certos"": 5}",,0,,0,0,0,,,0,0,0,
