id,nome,time_atual_id,posicao,numero_camisa,nacionalidade,nascimento,altura,pe_preferido,foto_url,sofascore_id,ativo,created_at,updated_at
1,Pedro,1,F,,,,,,,840219,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
2,Bruno Henrique,1,F,,,,,,,795291,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
3,Juninho Vieira,1,F,,,,,,,833236,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
4,Wallace Yan,1,F,,,,,,,1466084,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
5,Pedro Leão,1,F,,,,,,,1641243,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
6,Douglas Costa Telles,1,F,,,,,,,1883297,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
7,Joao Camargo,1,F,,,,,,,2408644,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
8,Giorgian De Arrascaeta,1,M,,,,,,,333587,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
9,Jorginho,1,M,,,,,,,132874,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
10,Samuel Lino,1,M,,,,,,,874705,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
11,Gonzalo Plata,1,M,,,,,,,937937,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
12,Nicolás de la Cruz,1,M,,,,,,,877513,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
13,Luiz Araújo,1,M,,,,,,,840451,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
14,Jorge Carrascal,1,M,,,,,,,590392,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
15,Saúl Ñíguez,1,M,,,,,,,116955,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
16,Everton,1,M,,,,,,,386198,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
17,Erick Pulgar,1,M,,,,,,,590262,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
18,Michael,1,M,,,,,,,878084,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
19,Allan,1,M,,,,,,,828839,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
20,Evertton Araujo,1,M,,,,,,,1145106,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
21,Guilherme Gomes,1,M,,,,,,,1645868,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
22,Pablo Lucio,1,M,,,,,,,2031651,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
23,Caio Joshua,1,M,,,,,,,1883287,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
24,Fabiano,1,M,,,,,,,1819690,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
25,Fabiano Henrique Alves dos Santos,1,M,,,,,,,1634084,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
26,Danilo,1,D,,,,,,,124992,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
27,Alex Sandro,1,D,,,,,,,84854,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
28,Léo Ortiz,1,D,,,,,,,869643,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
29,Emerson Royal,1,D,,,,,,,856123,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
30,Léo Pereira,1,D,,,,,,,358548,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
31,Matías Viña,1,D,,,,,,,875295,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
32,Ayrton Lucas,1,D,,,,,,,818473,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
33,Guillermo Varela,1,D,,,,,,,311456,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
34,Cleiton,1,D,,,,,,,1134199,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
35,Iago Silva,1,D,,,,,,,1647585,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
36,Pablo,1,D,,,,,,,243735,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
37,João Victor,1,D,,,,,,,1602833,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
38,Daniel Sales,1,D,,,,,,,1459762,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
39,Carbone,1,D,,,,,,,1640597,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
40,Da Mata,1,D,,,,,,,1482346,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
41,Wanderson Vaz,1,D,,,,,,,2058799,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
42,Agustín Rossi,1,G,,,,,,,1140986,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
43,Matheus Cunha,1,G,,,,,,,1105835,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
44,Dyogo Alves,1,G,,,,,,,1514629,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
45,Leonardo Nannetti,1,G,,,,,,,1883341,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
46,Werneck,1,G,,,,,,,2408578,t,2025-12-07 02:11:55.294517,2025-12-07 02:11:55.294517
47,Vitor Roque,2,F,,,,,,,1150391,t,2025-12-07 02:11:55.890442,2025-12-07 02:11:55.890442
48,José López,2,F,,,,,,,1094179,t,2025-12-07 02:11:55.890442,2025-12-07 02:11:55.890442
49,Paulinho,2,F,,,,,,,885179,t,2025-12-07 02:11:55.890442,2025-12-07 02:11:55.890442
50,Ramón Sosa,2,F,,,,,,,1015733,t,2025-12-07 02:11:55.890442,2025-12-07 02:11:55.890442
51,Luighi Hanri,2,F,,,,,,,1597267,t,2025-12-07 02:11:55.890442,2025-12-07 02:11:55.890442
52,Bruno Rodrigues,2,F,,,,,,,817650,t,2025-12-07 02:11:55.890442,2025-12-07 02:11:55.890442
53,Raphael Veiga,2,M,,,,,,,840020,t,2025-12-07 02:11:55.890442,2025-12-07 02:11:55.890442
54,Andreas Pereira,2,M,,,,,,,285949,t,2025-12-07 02:11:55.890442,2025-12-07 02:11:55.890442
55,Facundo Torres,2,M,,,,,,,874572,t,2025-12-07 02:11:55.890442,2025-12-07 02:11:55.890442
56,Felipe Anderson,2,M,,,,,,,152276,t,2025-12-07 02:11:55.890442,2025-12-07 02:11:55.890442
57,Aníbal Moreno,2,M,,,,,,,977677,t,2025-12-07 02:11:55.890442,2025-12-07 02:11:55.890442
58,Mauricio,2,M,,,,,,,986233,t,2025-12-07 02:11:55.890442,2025-12-07 02:11:55.890442
59,Allan,2,M,,,,,,,1835889,t,2025-12-07 02:11:55.890442,2025-12-07 02:11:55.890442
60,Emiliano Martínez,2,M,,,,,,,973533,t,2025-12-07 02:11:55.890442,2025-12-07 02:11:55.890442
61,Lucas Evangelista,2,M,,,,,,,331397,t,2025-12-07 02:11:55.890442,2025-12-07 02:11:55.890442
62,Vitor Figueiredo,2,M,,,,,,,1942460,t,2025-12-07 02:11:55.890442,2025-12-07 02:11:55.890442
63,Rômulo,2,M,,,,,,,1105078,t,2025-12-07 02:11:55.890442,2025-12-07 02:11:55.890442
64,Gustavo Gómez,2,D,,,,,,,220833,t,2025-12-07 02:11:55.890442,2025-12-07 02:11:55.890442
65,Joaquín Piquerez,2,D,,,,,,,881110,t,2025-12-07 02:11:55.890442,2025-12-07 02:11:55.890442
66,Agustín Giay,2,D,,,,,,,1106603,t,2025-12-07 02:11:55.890442,2025-12-07 02:11:55.890442
67,Murilo,2,D,,,,,,,874729,t,2025-12-07 02:11:55.890442,2025-12-07 02:11:55.890442
68,Bruno Fuchs,2,D,,,,,,,973737,t,2025-12-07 02:11:55.890442,2025-12-07 02:11:55.890442
69,Luis Benedetti,2,D,,,,,,,1485284,t,2025-12-07 02:11:55.890442,2025-12-07 02:11:55.890442
70,Khellven,2,D,,,,,,,984896,t,2025-12-07 02:11:55.890442,2025-12-07 02:11:55.890442
71,Micael,2,D,,,,,,,1105341,t,2025-12-07 02:11:55.890442,2025-12-07 02:11:55.890442
72,Jefté,2,D,,,,,,,1116665,t,2025-12-07 02:11:55.890442,2025-12-07 02:11:55.890442
73,Bruno,2,D,,,,,,,220309,t,2025-12-07 02:11:55.890442,2025-12-07 02:11:55.890442
74,Weverton,2,G,,,,,,,243529,t,2025-12-07 02:11:55.890442,2025-12-07 02:11:55.890442
75,Carlos Miguel,2,G,,,,,,,973738,t,2025-12-07 02:11:55.890442,2025-12-07 02:11:55.890442
76,Marcelo Lomba,2,G,,,,,,,34141,t,2025-12-07 02:11:55.890442,2025-12-07 02:11:55.890442
77,Aranha,2,G,,,,,,,1587799,t,2025-12-07 02:11:55.890442,2025-12-07 02:11:55.890442
78,Gabriel Barbosa,3,F,,,,,,,358554,t,2025-12-07 02:11:56.408672,2025-12-07 02:11:56.408672
79,Kaio Jorge,3,F,,,,,,,954888,t,2025-12-07 02:11:56.408672,2025-12-07 02:11:56.408672
80,Luis Sinisterra,3,F,,,,,,,836070,t,2025-12-07 02:11:56.408672,2025-12-07 02:11:56.408672
81,Yannick Bolasie,3,F,,,,,,,46620,t,2025-12-07 02:11:56.408672,2025-12-07 02:11:56.408672
82,Matheus Pereira,3,M,,,,,,,377238,t,2025-12-07 02:11:56.408672,2025-12-07 02:11:56.408672
83,Keny Arroyo,3,M,,,,,,,1482431,t,2025-12-07 02:11:56.408672,2025-12-07 02:11:56.408672
84,Marquinhos,3,M,,,,,,,1116954,t,2025-12-07 02:11:56.408672,2025-12-07 02:11:56.408672
85,Matheus Henrique,3,M,,,,,,,912786,t,2025-12-07 02:11:56.408672,2025-12-07 02:11:56.408672
86,Lucas Romero,3,M,,,,,,,263477,t,2025-12-07 02:11:56.408672,2025-12-07 02:11:56.408672
87,Lucas Silva,3,M,,,,,,,245159,t,2025-12-07 02:11:56.408672,2025-12-07 02:11:56.408672
88,Eduardo,3,M,,,,,,,76507,t,2025-12-07 02:11:56.408672,2025-12-07 02:11:56.408672
89,Wanderson,3,M,,,,,,,247483,t,2025-12-07 02:11:56.408672,2025-12-07 02:11:56.408672
90,Christian,3,M,,,,,,,981733,t,2025-12-07 02:11:56.408672,2025-12-07 02:11:56.408672
91,Walace,3,M,,,,,,,553686,t,2025-12-07 02:11:56.408672,2025-12-07 02:11:56.408672
