id,nome,liga,sofascore_id,logo_url,ativo,created_at,updated_at,league_id
1,Flamengo,Brasileirão,5981,,t,2025-12-07 02:09:45.885083,2025-12-07 02:09:45.885083,1
2,Palmeiras,Brasileirão,1963,,t,2025-12-07 02:09:45.885083,2025-12-07 02:09:45.885083,1
3,Cruzeiro,Brasileirão,1954,,t,2025-12-07 02:09:45.885083,2025-12-07 02:09:45.885083,1
4,São Paulo,Brasileirão,1981,,t,2025-12-07 02:09:45.885083,2025-12-07 02:09:45.885083,1
5,Corinthians,Brasileirão,1957,,t,2025-12-07 02:09:45.885083,2025-12-07 02:09:45.885083,1
6,Internacional,Brasileirão,1966,,t,2025-12-07 02:09:45.885083,2025-12-07 02:09:45.885083,1
7,Atlético Mineiro,Brasileirão,1977,,t,2025-12-07 02:09:45.885083,2025-12-07 02:09:45.885083,1
9,Fluminense,Brasileirão,1961,,t,2025-12-07 02:09:45.885083,2025-12-07 02:09:45.885083,1
10,Botafogo,Brasileirão,1958,,t,2025-12-07 02:09:45.885083,2025-12-07 02:09:45.885083,1
11,Grêmio,Brasileirão,5926,,t,2025-12-07 02:09:45.885083,2025-12-07 02:09:45.885083,1
12,Bahia,Brasileirão,1955,,t,2025-12-07 02:09:45.885083,2025-12-07 02:09:45.885083,1
13,Vasco da Gama,Brasileirão,1974,,t,2025-12-07 02:09:45.885083,2025-12-07 02:09:45.885083,1
15,Santos,Brasileirão,1968,,t,2025-12-07 02:09:45.885083,2025-12-07 02:09:45.885083,1
16,Vitória,Brasileirão,1962,,t,2025-12-07 02:09:45.885083,2025-12-07 02:09:45.885083,1
18,Ceará,Brasileirão,2001,,t,2025-12-07 02:09:45.885083,2025-12-07 02:09:45.885083,1
20,Juventude,Brasileirão,1980,,t,2025-12-07 02:09:45.885083,2025-12-07 02:13:43.471815,1
8,Fortaleza,Brasileirão,2020,,t,2025-12-07 02:09:45.885083,2025-12-07 20:03:42.446822,1
17,Sport Recife,Brasileirão,1959,,t,2025-12-07 02:09:45.885083,2025-12-07 20:03:42.446822,1
19,Mirassol,Brasileirão,21982,,t,2025-12-07 02:09:45.885083,2025-12-07 20:03:42.446822,1
14,Athletico Paranaense,Brasileirão,,,f,2025-12-07 02:09:45.885083,2025-12-07 20:04:28.906479,1
21,Red Bull Bragantino,Brasileirão,1999,,t,2025-12-07 20:03:51.732839,2025-12-08 14:07:59.078986,1
